Employee ID,First Name,Last Name,Gender,Date of Birth,Job Title,Department,Manager Name,Hire Date,Email,Phone Number,Address,City,State,Country,Postal Code,Salary,Employee Status,Date of Termination,Performance Rating
447470,Maria,Kelley,Male,1990-12-30,"Production assistant, television",Finance,Karen Larsen,2019-05-31,rsims@example.com,443-545-5812,231 Russell Plains Suite 603,Priceshire,Vermont,Angola,75957,89857,Inactive,2022-05-27,1
313118,Karen,Castaneda,Female,1995-04-27,Sports coach,Sales,Rachael Freeman,2019-05-03,ytucker@example.com,+1-462-972-9806x99016,46537 Rogers Light,Karenchester,Kentucky,Syrian Arab Republic,11236,101644,Active,,5
54615,Zoe,Bell,Male,2003-01-17,Architect,Engineering,Stefanie Gonzalez,2015-01-15,johnwells@example.org,001-437-645-2991,049 Sanders Stravenue,North Brittany,South Dakota,Ecuador,13857,131382,Inactive,2017-02-05,5
834904,Tonya,Patton,Female,1994-12-12,Phytotherapist,Operations,Mitchell Hunter,2020-07-01,atkinsonlynn@example.org,(657)726-2849x87769,47379 Rogers Park,Hunterborough,Minnesota,South Georgia and the South Sandwich Islands,34363,84608,Inactive,2023-06-25,5
922859,Joshua,Smith,Male,1964-07-08,Financial controller,Operations,Richard Peters,2018-10-13,fbrewer@example.com,9147363495,855 Nelson Glen Apt. 135,Lake Amandaburgh,Illinois,Cuba,97311,103464,Inactive,2023-03-30,5
625780,Justin,Garcia,Male,1978-11-08,Ergonomist,Finance,Harry Smith,2023-10-12,joshuamccann@example.net,627-910-9477x7520,67190 Edward Port,Christopherbury,Delaware,Moldova,55049,119471,Active,,5
398855,Shannon,Ramos,Female,1979-06-23,"Teacher, adult education",Sales,Brian Choi,2016-05-19,colleenbaker@example.org,(932)681-2067,44713 French Road,South Danny,Iowa,Oman,20029,74816,Active,,1
62535,Gabriel,Parker,Female,1988-07-30,Company secretary,Marketing,Haley Lyons,2019-04-29,mkim@example.org,(959)940-1399x04902,96717 Ortiz Islands Apt. 256,Robertsfurt,Wisconsin,Mexico,05310,99614,Active,,3
264659,Marcus,Cordova,Female,1993-09-17,Accommodation manager,Operations,Molly Murray,2015-08-13,aprildean@example.com,+1-570-434-8247x7109,086 Jeffrey Ville Apt. 712,Cantuport,North Carolina,Romania,36339,94459,Inactive,2019-10-05,4
478975,Andrea,Reyes,Male,1963-06-12,Health and safety adviser,Marketing,Matthew French,2019-03-29,campbellkenneth@example.net,001-872-978-7558,39636 Louis Mountains Suite 627,East Wayneshire,Michigan,Trinidad and Tobago,13655,97711,Active,,5
954667,Stephen,Bowen,Female,2003-04-02,"Designer, fashion/clothing",Engineering,Terrance Costa,2020-06-14,vsantos@example.net,+1-665-578-0913,1172 Berger Cape,Lauraport,Minnesota,Holy See (Vatican City State),56951,59080,Active,,5
432067,Ashlee,Sparks,Male,1970-08-10,Careers information officer,Sales,Monica Harvey,2018-10-16,jdurham@example.org,647.840.7482x175,4367 John Ports Suite 944,Port Dominiqueview,Alabama,Mongolia,90390,142014,Active,,5
781369,Tyler,Strong,Female,1974-05-09,Training and development officer,Finance,Jeffery Lee,2018-12-16,courtneyberger@example.net,7478095214,28588 Rivas Glens,Coffeyport,West Virginia,Trinidad and Tobago,44897,145412,Active,,4
78957,Donald,Levy,Female,1996-08-14,Medical secretary,Engineering,Krystal Smith,2023-10-28,gibsonemily@example.net,596-351-3709x859,461 Brandon Camp Suite 711,New Derek,New Jersey,Heard Island and McDonald Islands,88382,137404,Inactive,2024-08-11,5
761894,Eric,Perry,Male,1991-12-29,Warden/ranger,Marketing,Sheila Ramirez,2020-12-30,scottsampson@example.com,958-350-6431,900 Sanchez Crossroad,North Maria,Oklahoma,Cote d'Ivoire,77359,68305,Active,,3
811984,Dylan,Lester,Male,1977-07-24,Dance movement psychotherapist,HR,Amber Lindsey,2016-07-25,andersonmichael@example.org,001-350-324-0268,5891 Gordon Ridges Apt. 847,North Yolandafurt,Nevada,Poland,14651,104260,Inactive,2024-03-18,1
84714,Marc,Hernandez,Male,1977-05-29,Textile designer,Sales,Jennifer James,2023-09-20,shawn96@example.org,001-318-736-7365x766,4527 Christopher Corner Apt. 615,New Brian,Oklahoma,Monaco,43708,127819,Active,,4
370774,Morgan,Pugh,Female,1962-03-12,Holiday representative,Sales,Larry Garcia,2023-04-29,ericolson@example.org,(285)614-9368x998,44550 Molly Port,Jonestown,Colorado,San Marino,70032,68197,Inactive,2024-04-15,4
357455,Eric,Collins,Female,1997-04-26,"Therapist, occupational",Engineering,Nicole Moore,2015-07-17,nelsonebony@example.com,+1-976-643-8156x149,69003 Dougherty Trafficway,Port Jonathan,Massachusetts,British Indian Ocean Territory (Chagos Archipelago),01514,105193,Inactive,2017-09-26,2
398676,Amanda,Hall,Female,1963-08-07,Occupational psychologist,Operations,Bobby Smith,2016-01-07,barbara96@example.net,+1-364-516-0529x7516,681 Harrell Summit Suite 352,New Cynthiahaven,North Carolina,Congo,46294,86019,Active,,2
107798,Dwayne,Gonzalez,Male,2003-04-20,Call centre manager,HR,Stephanie Burton,2022-08-02,kmaldonado@example.net,+1-795-352-7177x4490,7005 Jones Way Apt. 998,Fordside,West Virginia,Ukraine,05877,98947,Active,,3
634394,Thomas,Hernandez,Male,1989-05-08,"Civil engineer, contracting",Finance,Toni Miller,2017-08-18,wrightsamuel@example.com,789.325.5466x59051,4925 Brandi Divide Suite 462,West Angelicamouth,Florida,Paraguay,92622,148653,Active,,4
533188,Michael,Cox,Male,1973-04-08,Licensed conveyancer,Marketing,James Cooke,2017-04-30,phillipskristin@example.net,001-988-205-9296x22292,3794 Young Garden Suite 735,Murrayport,Wyoming,Hong Kong,66417,109135,Inactive,2024-04-10,2
209398,Laurie,Taylor,Female,1962-03-30,Quarry manager,Finance,Angela Garcia,2023-06-21,mitchellkathryn@example.com,782.561.3750x606,53051 Moody Dam Apt. 472,Westtown,Colorado,Andorra,34045,68266,Active,,5
985898,Jessica,Rose,Male,1978-04-19,Field seismologist,Finance,David Allen,2022-06-21,rodriguezrebecca@example.net,+1-708-593-2460,18518 Peter Mountains Apt. 654,West Kristinastad,Kansas,Saint Martin,86628,122346,Active,,5
770899,Katherine,Anderson,Female,1995-11-07,Lexicographer,Operations,Gregory Maxwell,2022-08-07,zwelch@example.org,670-843-0305,0345 Michelle Isle Suite 156,Paulfurt,Michigan,Colombia,65539,130710,Inactive,2024-07-24,3
836020,April,Owen,Female,1964-01-24,Planning and development surveyor,Sales,Wanda White,2019-09-10,curtis54@example.com,296.327.5705x964,8202 Johnson Cliff Apt. 556,New Ericmouth,Mississippi,Holy See (Vatican City State),58689,140019,Active,,5
144383,Alyssa,Sanders,Female,1975-09-06,Clothing/textile technologist,Engineering,Jill Porter,2021-04-11,greenjorge@example.com,494.973.1217,551 Vance Vista,Lake Jenna,Vermont,Northern Mariana Islands,23319,144031,Inactive,2022-03-25,5
127257,Tracie,Conner,Male,1992-04-23,Agricultural engineer,Finance,Angela Wood,2024-01-29,cherylmiller@example.com,(778)466-9125x1778,68018 Kevin Estates,Sarahbury,Minnesota,Yemen,68513,77230,Active,,3
205837,Cynthia,Pierce,Male,2001-03-24,Immunologist,Sales,Amanda Shaw,2017-07-24,georgeweber@example.net,690-601-0943x96907,64710 Scott Orchard Suite 359,West Michelle,Massachusetts,Saint Martin,45769,92260,Active,,3
539995,Anna,Flores,Female,1967-01-12,"Geologist, engineering",Marketing,John Davis,2019-08-19,alin@example.org,(959)653-2787,16873 Brandy Causeway Apt. 479,Mitchelltown,Connecticut,Jersey,18056,74664,Inactive,2022-09-28,4
47440,Richard,Hudson,Male,1983-05-13,Surgeon,Finance,Charles Gordon,2024-01-18,marcia99@example.org,(816)255-8523,25787 Catherine Passage,West Sarah,Massachusetts,Central African Republic,52006,120805,Inactive,2024-05-27,5
531958,Maria,Patel,Female,1991-01-04,Adult guidance worker,Finance,Mark Rodriguez,2021-10-12,laura09@example.com,599-230-9728x962,07562 Vaughn Loop,Salaston,Virginia,Burundi,68485,67176,Inactive,2024-01-06,4
395129,Lee,Thompson,Female,1995-11-13,Manufacturing systems engineer,Operations,Kelsey Le,2019-03-11,plee@example.com,+1-743-644-3757,98665 Kelly Heights Apt. 574,Lewisside,Louisiana,Venezuela,74165,131248,Inactive,2020-02-13,2
645584,Joyce,Allen,Male,2004-04-10,Set designer,HR,Dana Williams,2021-09-22,jennifer12@example.org,+1-226-377-3454,026 Sarah Camp,Frenchburgh,West Virginia,Tunisia,38442,44910,Active,,3
595551,Carrie,Hebert,Female,1978-01-21,"Programme researcher, broadcasting/film/video",Operations,Amy Snyder,2016-12-22,znelson@example.org,727-342-0549x32966,122 Morris Gateway Apt. 463,Molinamouth,Maryland,Myanmar,95250,115088,Active,,3
685436,Michael,Young,Male,1990-05-13,Information systems manager,HR,Richard Shaw,2019-12-26,fowlershelia@example.com,+1-533-527-2795x687,785 Samantha Creek,Port Amyhaven,Illinois,Montserrat,70842,59641,Active,,3
895993,Abigail,Wilson,Male,1998-05-18,Records manager,Engineering,Rachel Griffin,2015-08-22,aanderson@example.com,001-508-374-0640,5180 Valerie Mountains,West Robertberg,Wyoming,Norway,96090,124656,Inactive,2022-02-22,3
470325,Molly,Knox,Female,1964-02-26,"Solicitor, Scotland",HR,Desiree Bailey,2017-09-23,urice@example.org,5049786863,43106 John Cliff Apt. 907,East Joyfurt,New Hampshire,Djibouti,71248,68477,Active,,2
528373,Victoria,Young,Female,1997-12-28,"Therapist, sports",Operations,Loretta Young,2017-02-17,roberthill@example.net,001-726-887-0568,46287 Melissa Hills Apt. 708,Faulknerside,North Dakota,Burkina Faso,51411,71831,Inactive,2019-12-10,2
678120,Christian,Cole,Female,1964-12-26,Social worker,Operations,Maria Williams,2021-02-09,russojacob@example.net,001-583-873-5403x3173,546 Ferguson Knolls,Josehaven,New York,Lao People's Democratic Republic,13425,145226,Inactive,2021-12-21,3
388712,Lawrence,Williams,Male,1968-08-15,"Administrator, sports",Finance,Angela Silva,2021-10-18,elijah53@example.com,001-437-785-4777,87280 Mary Club,Port Adamberg,South Dakota,Djibouti,09409,132690,Active,,1
229344,William,Brooks,Female,2003-07-23,Ranger/warden,Engineering,Adam Arnold,2014-11-23,morenojoshua@example.com,5866211823,6156 Cunningham Square Apt. 410,South Nicholasside,New Mexico,Azerbaijan,83960,41238,Active,,1
524139,Megan,Newman,Female,1997-03-14,Chief of Staff,Sales,Samantha Hall,2024-05-02,enelson@example.net,689-402-5039x261,685 Campos Dam,New Juliestad,Arkansas,Bolivia,57791,70427,Active,,3
634565,Kayla,Friedman,Female,1980-11-26,Air traffic controller,Operations,Joshua Riddle,2023-01-15,michaelpugh@example.com,(696)419-4311,265 Rodriguez Avenue Suite 754,East Christopherchester,New Hampshire,Moldova,73211,107166,Inactive,2023-02-04,1
93972,Michael,Davis,Female,1984-11-28,"Administrator, charities/voluntary organisations",Finance,Robert Maxwell,2024-03-18,ashleyjackson@example.com,(824)644-7212,7154 Jennifer Park Apt. 712,Adamfurt,Michigan,Tajikistan,81790,89792,Inactive,2024-05-21,4
451533,Lisa,Villarreal,Male,1979-02-20,IT sales professional,Sales,Stacey Harris,2020-01-15,tamaranovak@example.com,001-479-235-6465x1939,374 Lori Underpass Suite 724,West Donna,Virginia,Jamaica,49913,49694,Inactive,2024-02-11,5
610527,Richard,Hunter,Female,1995-09-09,Animator,Finance,Jacqueline Burnett,2016-02-21,mackdiane@example.com,(390)696-5610,889 Sean Lock,Bartonshire,Vermont,Macao,20259,85215,Active,,4
109627,Kenneth,Knapp,Male,1966-08-04,Curator,Finance,Larry Gibson,2018-03-19,gbailey@example.com,001-475-414-0105x1238,673 Soto Ferry Suite 609,South Brittany,Missouri,Albania,92872,68153,Active,,3
788870,Jane,Flynn,Male,1995-03-25,"Embryologist, clinical",Finance,Mark Ellis,2019-02-27,orose@example.com,+1-369-469-1557x924,34125 William Manor Apt. 966,South Cynthia,Vermont,Uruguay,85076,62706,Active,,4
302865,Donald,Edwards,Female,2000-11-04,Astronomer,Finance,Stephanie Washington,2018-01-05,gmaynard@example.net,667.567.7219x0340,79788 Ashley Grove Suite 807,South Curtis,Tennessee,Sao Tome and Principe,32945,79021,Active,,4
275581,Michael,Montoya,Female,1966-09-06,Fast food restaurant manager,HR,Lisa Matthews,2020-08-28,imartin@example.org,709.658.4982,481 Sydney Turnpike Suite 042,East Dustin,Massachusetts,Switzerland,32948,139807,Inactive,2021-04-05,4
605474,Cynthia,Burton,Female,1989-06-14,Call centre manager,Operations,Laura Mack,2021-07-19,heather57@example.com,790-617-5186x36374,929 Kramer Springs Apt. 017,North Sarahburgh,New Hampshire,Korea,00589,96072,Active,,2
924998,Debra,Moore,Female,1965-01-16,Media planner,Finance,Christopher Beck,2017-07-05,sanderskevin@example.net,001-236-211-0371x29387,62713 Davis Valley Apt. 155,Derrickberg,Tennessee,Philippines,19225,48966,Active,,5
681595,Frank,Bell,Male,2001-06-08,"Designer, blown glass/stained glass",Marketing,Christina Ramos,2018-05-22,mosleydonald@example.org,001-565-665-2341,438 Julie Hill,Port Rachaelbury,New York,Hungary,15278,71599,Inactive,2018-12-28,5
553948,Pamela,Smith,Female,1980-03-24,Consulting civil engineer,Marketing,Michelle Carroll,2020-11-28,kathrynbest@example.org,6918043006,618 Joshua Inlet Apt. 832,Peterland,Maryland,Qatar,57843,135677,Active,,1
256355,Christopher,Hamilton,Female,2000-05-11,Transport planner,Engineering,Kyle Harmon,2017-09-06,smithderrick@example.org,(675)388-4252,6481 Joseph Ports,South Spencerstad,Arkansas,Luxembourg,74803,61873,Inactive,2019-11-07,2
810894,Dakota,Berry,Male,1974-03-28,Sales executive,Engineering,Bradley Roy,2018-11-08,ruizpatrick@example.org,(608)363-5365,80238 Stephanie Cliff Suite 445,New Stephenstad,Illinois,French Guiana,74400,142826,Inactive,2020-11-30,5
486462,Micheal,Bonilla,Male,1995-11-20,Financial trader,HR,Adam Ortiz,2018-08-28,cynthia05@example.org,001-564-813-8367x02410,1918 Dana Lock Apt. 990,Batesberg,Kansas,French Guiana,34709,81288,Inactive,2021-05-12,3
474751,Joseph,Jones,Male,1967-12-16,Television/film/video producer,Engineering,Eric Martin,2022-08-15,richard85@example.org,447.341.1249x035,6804 Wilkins Extensions,South Melissaside,West Virginia,Mexico,33249,52415,Inactive,2024-04-30,1
832369,Donald,Smith,Male,1967-08-03,"Engineer, civil (consulting)",Marketing,Nathan Mccoy,2016-02-15,samantha10@example.org,472.815.1070,0662 Lewis Ferry Suite 472,New Christinebury,Tennessee,French Polynesia,65891,94000,Inactive,2017-08-13,1
293366,Patrick,Barnes,Male,2001-08-13,Speech and language therapist,Engineering,Veronica Casey,2020-10-20,fstephens@example.com,001-585-264-2059,78593 Craig Shoals Apt. 480,New Meghan,Missouri,Guinea,23269,63081,Active,,5
333451,Linda,Wolfe,Male,2006-07-25,Management consultant,Sales,Anne Hart,2017-11-23,lweaver@example.com,2107393087,52500 Brenda Divide,Port Aliciastad,California,Holy See (Vatican City State),92846,126787,Inactive,2018-10-02,5
352909,Kevin,Taylor,Male,1988-06-03,"Radiographer, therapeutic",Operations,Logan Mann,2024-04-03,jeffrey92@example.com,542-320-9690x2959,51355 Daisy Corners Suite 704,East Heather,Minnesota,Equatorial Guinea,14661,134426,Active,,1
404684,Samuel,Barnes,Male,1986-11-13,"Research officer, government",Marketing,Michael Bennett,2022-11-07,franciscojones@example.org,705-941-1526x2181,2962 Craig Ford,South Heidi,Washington,Uzbekistan,96180,110795,Inactive,2023-06-25,3
249087,Cody,Long,Female,1969-02-22,Audiological scientist,Finance,Adam Miller,2022-11-12,collinclark@example.net,717-814-6774x1862,70477 Perez Grove Apt. 211,Lindseychester,Wisconsin,Namibia,30321,112561,Active,,4
858160,Alexandra,Sheppard,Female,1997-08-31,Fashion designer,Marketing,Kent Foster,2015-04-14,davidtodd@example.org,(433)620-6163,116 Arnold Walks Suite 870,Rodriguezberg,Georgia,Montenegro,77562,116372,Active,,1
590016,Kimberly,Floyd,Female,1986-08-27,"Geneticist, molecular",Marketing,Diana Armstrong,2022-09-28,jacksonrichard@example.net,+1-660-665-3074x505,1324 Schroeder Islands Suite 691,South Jason,Nebraska,Saint Vincent and the Grenadines,64000,139548,Inactive,2023-11-02,1
829937,Erik,Collins,Female,1967-12-04,"Scientist, research (physical sciences)",Sales,Anthony Lee,2018-02-09,wrightstephen@example.com,001-934-457-8610x357,855 Mary Green Apt. 406,East Melissaborough,Iowa,Oman,30006,128826,Active,,3
683238,Robert,Smith,Male,1990-12-15,Consulting civil engineer,Operations,Glen Owen,2018-07-02,charlene44@example.com,(757)643-7489x6910,171 Mcneil Route Suite 444,East Zachary,Kansas,United Arab Emirates,07942,145569,Inactive,2024-04-16,3
146726,Jennifer,Rios,Female,1976-05-07,Personal assistant,Marketing,Paul Johnson,2024-06-04,matthewreeves@example.net,+1-375-984-2824,482 Pena Forges,Jeffreyport,Nebraska,Solomon Islands,43927,88717,Inactive,2024-07-31,5
486288,Melissa,Ruiz,Male,1990-10-30,"Engineer, broadcasting (operations)",Sales,David Becker,2023-09-16,robert22@example.org,969-672-5217x52500,92712 Schultz Lodge,Sanfordfurt,Alabama,Argentina,70464,66137,Inactive,2024-08-27,1
337864,Katherine,Schmidt,Male,2004-09-29,"Accountant, chartered management",Operations,Jessica Perez,2020-07-20,david68@example.net,721-904-4789x8562,26033 Jason Brooks Apt. 150,Mcdowellview,Wyoming,Martinique,82176,46368,Active,,1
685315,Mary,Williams,Male,1987-01-21,"Producer, radio",Marketing,David King,2017-04-19,heathermccoy@example.com,(318)949-9261x89141,348 Michael Lodge,Ethanside,New York,United States Minor Outlying Islands,27723,130204,Inactive,2019-04-17,3
2871,Alexander,Davis,Male,1997-10-06,"Research officer, political party",HR,Stacy Chan,2015-12-21,conwaydawn@example.com,247-201-2045x5611,255 Friedman Grove,West Lisaburgh,Delaware,Iran,52962,99839,Inactive,2024-02-08,4
838754,Robert,Mercado,Male,1966-05-22,Consulting civil engineer,Operations,Jessica Jarvis,2017-05-28,perrybrittany@example.net,+1-272-396-5902x77167,508 Tiffany Skyway Suite 889,South Dorothybury,New Mexico,Guatemala,87494,128643,Inactive,2024-07-16,2
866582,Angela,Huerta,Male,1959-06-27,"Designer, graphic",Sales,Melinda Christian,2017-07-04,waltonmalik@example.com,908-338-6631x779,5170 Richard Camp Apt. 199,Pamelaside,Indiana,Palau,88512,99796,Inactive,2024-07-11,3
56911,Lisa,Richard,Female,1996-10-23,Water quality scientist,Sales,Thomas Sandoval,2022-05-23,davisdonna@example.org,554-588-5102x72614,3735 Katherine Cape,Port Patriciamouth,Texas,Namibia,66587,57647,Inactive,2024-08-23,1
771976,Brandon,Mcconnell,Female,1993-04-14,"Editor, film/video",Operations,Beth Cross,2016-11-16,hughescaroline@example.com,666.793.4654x72269,39452 William Square,Jenniferstad,Oklahoma,Lesotho,76890,114794,Inactive,2019-04-23,5
920101,Melanie,Stokes,Male,1960-05-31,Museum/gallery curator,HR,Brian Brown,2019-03-27,tonyavega@example.org,5438805719,406 Butler Turnpike,Tammyton,Alabama,Samoa,33444,66619,Inactive,2024-08-16,2
738857,Jenna,Richardson,Male,1971-11-11,Hospital pharmacist,Marketing,Gregory Fleming,2017-11-15,jillwilson@example.org,(748)242-2940x57202,9851 Fox Ferry Apt. 826,Davisbury,Indiana,Panama,44001,83393,Inactive,2019-09-24,3
996470,Karen,Moreno,Male,1966-07-02,Logistics and distribution manager,Marketing,John May,2018-11-04,flemingmanuel@example.org,(548)740-8588x7704,28801 Ellen Trail,Port Gina,Connecticut,Costa Rica,70985,148625,Inactive,2024-09-04,1
161223,Andrew,Love,Male,1964-08-25,"Buyer, retail",Engineering,Gregory King,2015-11-22,rhondarussell@example.com,+1-366-750-6180x9190,4914 James View,South Ericbury,Florida,San Marino,51749,144434,Inactive,2020-12-17,2
710189,Olivia,Sanford,Female,1959-06-15,Surgeon,Sales,Donald Williams,2024-06-08,fmedina@example.com,653.568.2223,90878 Kelly Cliff,Coreyshire,New York,Zambia,43866,86810,Active,,2
104904,Justin,Jones,Male,1980-04-26,"Radiographer, diagnostic",Marketing,Mark Hopkins,2024-08-18,arianadiaz@example.com,(720)653-3645x25777,129 Meagan Walks Apt. 834,Lake Charlestown,North Carolina,Norfolk Island,04589,146514,Inactive,2024-08-23,5
950328,Benjamin,Green,Female,2003-03-11,Database administrator,Finance,Philip Vance,2019-08-24,stevendixon@example.com,(480)939-2827x229,37314 Young Skyway Apt. 856,Hardinton,Arizona,Pakistan,42977,53529,Inactive,2024-07-25,3
570792,Ashley,Bennett,Female,1983-07-21,Theatre manager,Operations,Rachel Miller,2018-12-22,okaufman@example.net,(655)577-9082x7231,25913 Shepherd Stravenue,South Emmafort,Indiana,Nauru,21635,124837,Inactive,2021-01-17,1
45240,David,Vargas,Male,2001-07-14,Science writer,Engineering,Patricia Thomas,2017-07-10,sandra86@example.net,001-404-513-7977,292 Jackson Spur Suite 799,East Nicholasberg,Connecticut,Andorra,27023,108512,Inactive,2022-09-03,2
100976,Gregory,Valenzuela,Male,1994-11-09,Retail manager,Engineering,Christopher Hopkins,2023-11-14,princekimberly@example.net,(886)450-8637x65991,3149 Scott Avenue Apt. 981,South Diamondmouth,Nebraska,Guyana,14471,60287,Inactive,2024-02-20,5
273995,Melissa,Henderson,Female,2000-05-01,Health and safety adviser,Operations,Raymond Harris,2024-02-01,jwhite@example.net,844.795.6213x7213,60127 Davis Greens,West Christopher,Arizona,Saint Kitts and Nevis,50875,92513,Inactive,2024-02-23,5
991654,Kim,Thompson,Female,1988-07-25,Administrator,HR,Melissa Galvan,2023-07-05,james98@example.net,001-739-820-5302x146,380 Samantha Plaza Suite 895,Sylviaview,Iowa,New Caledonia,25997,99606,Inactive,2023-07-08,5
273791,Gregory,Hunter,Male,1992-12-07,Hospital pharmacist,Finance,Stacey Pratt,2019-01-29,heather69@example.com,001-735-877-9071x41633,804 Justin Locks Suite 182,Edwardsborough,Oregon,Ethiopia,24458,137800,Active,,4
772918,James,Moss,Female,1972-10-06,Estate manager/land agent,HR,Mary Huff,2020-10-01,kimberlywilson@example.org,+1-479-608-0759x57947,92086 Ayers Bypass Suite 627,Lake Aprilmouth,Vermont,Algeria,02050,128356,Active,,4
609231,Craig,Ward,Female,1971-06-06,Sports therapist,Finance,Joel Ruiz,2020-07-12,ivan63@example.com,001-655-564-7292x931,3227 Gregory Parks Apt. 885,Evansside,Oregon,Australia,52720,52972,Active,,1
225933,Lisa,Woods,Male,1989-04-22,"Lecturer, higher education",Finance,Michael Castro,2019-01-29,andrew15@example.net,+1-339-898-2455x877,2256 Sweeney Cliffs Apt. 253,Loganport,Virginia,Ethiopia,79850,124494,Inactive,2022-11-11,3
818910,Michelle,Cox,Female,1986-11-12,Diplomatic Services operational officer,HR,Melissa Martinez,2018-09-07,shelby13@example.org,(411)317-8006x8114,3347 David Villages Apt. 005,Michellemouth,Ohio,Vietnam,36206,111898,Inactive,2024-08-13,2
565484,Gregory,Harper,Female,1994-04-25,"Social research officer, government",Finance,Regina Olson,2018-07-23,ramosmichael@example.com,(240)908-2547,0649 Laura Plaza Suite 368,Fosterburgh,Virginia,Saint Pierre and Miquelon,85172,91081,Inactive,2020-10-17,2
83057,Robert,Allen,Female,1978-01-24,Ship broker,Finance,Robert Castaneda,2017-10-18,keithwalsh@example.net,349.673.5020x802,70312 Tristan Junctions Suite 475,Terryton,Michigan,Belgium,98879,59148,Active,,3
813331,Philip,Daniels,Male,1971-10-09,Fitness centre manager,Marketing,Maria Martinez,2018-12-05,cwise@example.org,001-303-671-8376x4520,435 Michelle Forge Apt. 365,East Laurashire,Delaware,Indonesia,32363,41170,Active,,5
821533,Hannah,Barker,Male,1983-12-20,Chartered public finance accountant,HR,Eric Davis,2020-06-13,browndeanna@example.net,+1-512-273-5857,2407 Hansen Plains Suite 392,Mariomouth,Louisiana,Trinidad and Tobago,78971,112682,Active,,1
556937,Eric,Phillips,Female,1995-07-20,Medical technical officer,Marketing,Aaron Little,2021-02-21,nicoleharvey@example.com,001-793-851-8638x78294,18102 Morgan Flats Apt. 731,New Darlenefurt,Texas,Liechtenstein,69421,121785,Inactive,2022-09-13,1
231444,Catherine,Jones,Male,2003-04-26,Regulatory affairs officer,Engineering,Taylor Fowler,2020-10-31,yshort@example.net,3943801413,633 Ashley Fall,Reeseshire,Minnesota,Peru,60626,132084,Inactive,2021-07-17,1
830956,Henry,Morales,Female,2003-06-10,"Designer, industrial/product",Sales,Yesenia Ramos,2020-09-08,andrea55@example.com,001-865-293-9836x84577,9082 Smith Forges,Port Leslie,Wyoming,Swaziland,90903,147785,Inactive,2022-11-11,5
583347,Ashley,Duncan,Male,1961-04-05,Psychiatrist,Finance,Eric Baker,2024-08-06,jesseshepherd@example.org,001-369-631-5727,961 Sandra Isle,Nicholechester,Nebraska,Venezuela,16300,140976,Active,,5
